Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742995808.274866,1742995809.222246,214,225.89,"2,095,332.7719037577",16762662.18,9276.06,947.380
1742995809.222246,1742995810.158955,211,225.26,"2,121,023.3368266434",16968186.69,9416.03,936.709
1742995810.158955,1742995811.095074,211,225.40,"2,122,360.871953131",16978886.98,9416.03,936.119
1742995811.095074,1742995812.032558,209,222.94,"2,101,729.677998969",16813837.42,9427.45,937.484
1742995812.032558,1742995812.968966,212,226.40,"2,130,485.7589701544",17043886.07,9410.40,936.408
1742995812.968966,1742995813.908761,210,223.45,"2,105,310.1620027064",16842481.30,9421.71,939.795
1742995813.908761,1742995814.84179,211,226.15,"2,129,389.4782035192",17035115.83,9416.03,933.029
1742995814.84179,1742995815.779001,211,225.14,"2,119,887.5410532015",16959100.33,9416.03,937.211
1742995815.779001,1742995816.716267,211,225.12,"2,119,762.9743463728",16958103.79,9416.03,937.266
1742995816.716267,1742995817.65258,211,225.35,"2,121,920.9630847163",16975367.70,9416.03,936.313
1742995817.65258,1742995818.589155,211,225.29,"2,121,327.321302962",16970618.57,9416.03,936.575
1742995818.589155,1742995819.486444,169,188.35,"1,776,076.529450355",14208612.24,9429.91,897.289
1742995819.486444,1742995820.405449,234,254.62,"2,419,147.012735479",19353176.10,9500.89,919.005
1742995820.405449,1742995821.337266,210,225.37,"2,132,088.0422564764",17056704.34,9460.55,931.817
1742995821.337266,1742995822.274329,211,225.17,"2,120,222.48777977",16961779.90,9416.03,937.063
1742995822.274329,1742995823.198539,207,223.98,"2,111,327.3486605417",16890618.79,9426.62,924.210
1742995823.198539,1742995824.148713,215,226.27,"2,129,658.1483148527",17037265.19,9411.84,950.174
1742995824.148713,1742995825.06364,212,231.71,"2,179,094.0560628036",17432752.45,9404.30,914.927
1742995825.06364,1742995825.960304,197,219.70,"2,068,643.5478580683",16549148.38,9415.62,896.664
1742995825.960304,1742995826.895813,212,226.61,"2,132,533.274992743",17060266.20,9410.40,935.509
1742995826.895813,1742995827.799658,209,231.23,"2,181,380.483814169",17451043.87,9433.64,903.845
