Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994106.282668,1742994107.294933,20,19.76,"140,220.20383221138",1121761.63,7097.00,1012.265
1742994107.294933,1742994108.345065,24,22.85,"216,205.19341511652",1729641.55,9460.17,1050.132
1742994108.345065,1742994110.298098,18,9.22,"86,362.08530724226",690896.68,9370.44,1953.033
1742994110.298098,1742994111.316121,24,23.58,"223,024.42760365704",1784195.42,9460.17,1018.023
1742994111.316121,1742994112.338045,14,13.70,"129,074.20545888618",1032593.64,9421.71,1021.924
1742994112.338045,1742994113.390724,17,16.15,"151,189.4800247143",1209515.84,9362.00,1052.679
1742994113.390724,1742994115.301346,16,8.37,"78,320.03955211867",626560.32,9352.50,1910.622
1742994115.301346,1742994116.355776,24,22.76,"215,323.91746393524",1722591.34,9460.17,1054.430
1742994116.355776,1742994118.287092,18,9.32,"87,333.20121088433",698665.61,9370.44,1931.316
1742994118.287092,1742994119.387963,24,21.80,"206,240.31538523512",1649922.52,9460.17,1100.871
1742994119.387963,1742994120.472442,14,12.91,"121,628.92745734214",973031.42,9421.71,1084.479
1742994120.472442,1742994122.285559,18,9.93,"93,026.53797961383",744212.30,9370.44,1813.117
1742994122.285559,1742994123.292584,14,13.90,"130,983.83808773634",1047870.70,9421.71,1007.025
1742994123.292584,1742994125.287617,28,14.03,"132,232.3974571496",1057859.18,9421.71,1995.033
1742994125.287617,1742994126.296405,15,14.87,"140,186.02991328156",1121488.24,9427.87,1008.788
1742994126.296405,1742994127.313735,13,12.78,"120,305.12053107213",962440.96,9414.62,1017.330
1742994127.313735,1742994129.28334,28,14.22,"133,939.5483606222",1071516.39,9421.71,1969.605
1742994129.28334,1742994130.439811,26,22.48,"212,778.35502684105",1702226.84,9464.31,1156.471
1742994130.439811,1742994131.510131,14,13.08,"123,237.92271086888",985903.38,9421.71,1070.320
1742994131.510131,1742994133.280982,16,9.04,"84,501.73875205184",676013.91,9352.50,1770.851
1742994133.280982,1742994134.343006,26,24.48,"231,701.00510433273",1853608.04,9464.31,1062.024
1742994134.343006,1742994136.284703,16,8.24,"77,066.60241049068",616532.82,9352.50,1941.697
1742994136.284703,1742994137.363722,24,22.24,"210,417.04116415148",1683336.33,9460.17,1079.019
1742994137.363722,1742994139.272605,18,9.43,"88,359.534183691",706876.27,9370.44,1908.883
1742994139.272605,1742994140.287399,14,13.80,"129,981.04594565068",1039848.37,9421.71,1014.794
1742994140.287399,1742994142.273778,28,14.10,"132,808.49837693846",1062467.99,9421.71,1986.379
1742994142.273778,1742994144.284805,28,13.92,"131,180.7286443081",1049445.83,9421.71,2011.027
1742994144.284805,1742994146.272073,28,14.09,"132,749.0825820022",1061992.66,9421.71,1987.268
1742994146.272073,1742994148.267859,28,14.03,"132,182.5117501239",1057460.09,9421.71,1995.786
1742994148.267859,1742994149.56493,27,20.82,"197,048.58402260166",1576388.67,9466.15,1297.071
1742994149.56493,1742994151.266649,15,8.81,"82,343.79250740487",658750.34,9341.73,1701.719
1742994151.266649,1742994153.2631,28,14.02,"132,138.4862826829",1057107.89,9421.71,1996.451
1742994153.2631,1742994154.264165,14,13.99,"131,763.6696109409",1054109.36,9421.71,1001.065
1742994154.264165,1742994155.267518,14,13.95,"131,463.18829912212",1051705.51,9421.71,1003.353
1742994155.267518,1742994156.269152,15,14.98,"141,187.31651114204",1129498.53,9427.87,1001.634
1742994156.269152,1742994158.265771,27,13.52,"127,362.30686302477",1018898.45,9418.30,1996.619
1742994158.265771,1742994159.589626,26,19.64,"185,875.3186339282",1487002.55,9464.31,1323.855
1742994159.589626,1742994161.259795,16,9.58,"89,595.73016372419",716765.84,9352.50,1670.169
1742994161.259795,1742994162.264383,14,13.94,"131,301.57169587247",1050412.57,9421.71,1004.588
1742994162.264383,1742994163.331592,26,24.36,"230,575.26573058972",1844602.13,9464.31,1067.209
1742994163.331592,1742994164.76893,14,9.74,"91,769.65434546345",734157.23,9421.71,1437.338
1742994164.76893,1742994166.2539,16,10.77,"100,769.70622386174",806157.65,9352.50,1484.970
1742994166.2539,1742994167.257219,14,13.95,"131,467.65555929163",1051741.24,9421.71,1003.319
1742994167.257219,1742994168.262279,14,13.93,"131,239.93152362682",1049919.45,9421.71,1005.060
1742994168.262279,1742994169.265477,15,14.95,"140,967.19980740148",1127737.60,9427.87,1003.198
1742994169.265477,1742994170.268433,14,13.96,"131,515.22102130813",1052121.77,9421.71,1002.956
1742994170.268433,1742994171.30723,25,24.07,"227,723.05116834174",1821784.41,9462.32,1038.797
1742994171.30723,1742994172.420019,14,12.58,"118,534.60988585661",948276.88,9421.71,1112.789
1742994172.420019,1742994174.248102,16,8.75,"81,856.23785268175",654849.90,9352.50,1828.083
1742994174.248102,1742994175.256599,14,13.88,"130,792.6548457036",1046341.24,9421.71,1008.497
1742994175.256599,1742994177.266501,28,13.93,"131,254.16062271802",1050033.28,9421.71,2009.902
1742994177.266501,1742994179.245606,28,14.15,"133,296.61668759596",1066372.93,9421.71,1979.105
1742994179.245606,1742994180.327715,26,24.03,"227,400.3873995471",1819203.10,9464.31,1082.109
1742994180.327715,1742994181.505272,14,11.89,"112,014.96058660887",896119.68,9421.71,1177.557
1742994181.505272,1742994183.248614,16,9.18,"85,835.12940387771",686681.04,9352.50,1743.342
1742994183.248614,1742994185.242376,28,14.04,"132,316.69469260421",1058533.56,9421.71,1993.762
1742994185.242376,1742994186.249614,15,14.89,"140,401.78434913847",1123214.27,9427.87,1007.238
1742994186.249614,1742994187.2564,14,13.91,"131,014.91861047507",1048119.35,9421.71,1006.786
1742994187.2564,1742994189.238683,27,13.62,"128,283.40644747234",1026267.25,9418.30,1982.283
1742994189.238683,1742994190.378309,26,22.81,"215,923.464674228",1727387.72,9464.31,1139.626
1742994190.378309,1742994192.240386,16,8.59,"80,361.8755724146",642895.00,9352.50,1862.077
1742994192.240386,1742994193.241875,14,13.98,"131,707.89694775612",1053663.18,9421.71,1001.489
1742994193.241875,1742994195.233815,28,14.06,"132,437.72259737574",1059501.78,9421.71,1991.940
1742994195.233815,1742994197.242739,28,13.94,"131,318.0583367889",1050544.47,9421.71,2008.924
1742994197.242739,1742994199.233169,28,14.07,"132,538.18749665358",1060305.50,9421.71,1990.430
1742994199.233169,1742994201.23804,28,13.97,"131,583.5354331851",1052668.28,9421.71,2004.871
1742994201.23804,1742994202.714509,26,17.61,"166,662.48552955387",1333299.88,9464.31,1476.469
1742994202.714509,1742994204.227282,16,10.58,"98,917.68054051754",791341.44,9352.50,1512.773
1742994204.227282,1742994206.225523,28,14.01,"132,020.11514204956",1056160.92,9421.71,1998.241
1742994206.225523,1742994207.228813,15,14.95,"140,954.26919730814",1127634.15,9427.87,1003.290
1742994207.228813,1742994208.231761,13,12.96,"122,030.2492447112",976241.99,9414.62,1002.948
1742994208.231761,1742994210.222645,28,14.06,"132,507.966965308",1060063.74,9421.71,1990.884
1742994210.222645,1742994211.23201,15,14.86,"140,105.92991137767",1120847.44,9427.87,1009.365
1742994211.23201,1742994212.563599,25,18.77,"177,650.8821938411",1421207.06,9462.32,1331.589
1742994212.563599,1742994214.219677,16,9.66,"90,358.07038603278",722864.56,9352.50,1656.078
1742994214.219677,1742994215.222475,14,13.96,"131,535.95182547005",1052287.61,9421.71,1002.798
1742994215.222475,1742994217.217622,28,14.03,"132,224.84425745733",1057798.75,9421.71,1995.147
1742994217.217622,1742994218.223962,15,14.91,"139,243.19440801194",1113945.56,9341.73,1006.340
1742994218.223962,1742994219.229316,26,25.86,"244,761.56430245022",1958092.51,9464.31,1005.354
1742994219.229316,1742994220.23113,12,11.98,"112,671.62622729843",901373.01,9406.33,1001.814
1742994220.23113,1742994221.25612,14,13.66,"128,688.07449338469",1029504.60,9421.71,1024.990
1742994221.25612,1742994222.350095,14,12.80,"120,573.1318401975",964585.05,9421.71,1093.975
1742994222.350095,1742994224.216734,18,9.64,"90,359.2012916689",722873.61,9370.44,1866.639
1742994224.216734,1742994225.270801,24,22.77,"215,398.04486055212",1723184.36,9460.17,1054.067
1742994225.270801,1742994226.362999,14,12.82,"120,769.32266377939",966154.58,9421.71,1092.198
1742994226.362999,1742994228.209876,18,9.75,"91,326.0553043983",730608.44,9370.44,1846.877
1742994228.209876,1742994229.276432,26,24.38,"230,716.44183428487",1845731.53,9464.31,1066.556
1742994229.276432,1742994231.208307,16,8.28,"77,458.42807567836",619667.42,9352.50,1931.875
1742994231.208307,1742994232.221286,15,14.81,"139,606.04881915636",1116848.39,9427.87,1012.979
1742994232.221286,1742994233.261262,13,12.50,"117,685.42152579967",941483.37,9414.62,1039.976
1742994233.261262,1742994234.266955,26,25.85,"244,679.05222866155",1957432.42,9464.31,1005.693
1742994234.266955,1742994236.20458,16,8.26,"77,228.55913303193",617828.47,9352.50,1937.625
