Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994760.775864,396,449.80,"4,206,279.2393114455",33650233.91,9351.54,880.400
1742994760.775864,1742994761.648612,391,448.01,"4,223,878.397148423",33791027.18,9428.09,872.748
1742994761.648612,1742994762.53479,392,442.35,"4,175,431.9453049586",33403455.56,9439.22,886.178
1742994762.53479,1742994763.397421,393,455.58,"4,295,475.898263636",34363807.19,9428.52,862.631
1742994763.397421,1742994764.271844,393,449.44,"4,228,683.241020003",33829465.93,9408.80,874.423
1742994764.271844,1742994765.146366,392,448.24,"4,224,712.612807322",33797700.90,9425.01,874.522
1742994765.146366,1742994766.025289,392,446.00,"4,209,896.944124611",33679175.55,9439.22,878.923
1742994766.025289,1742994766.895507,392,450.46,"4,244,122.549006167",33952980.39,9421.71,870.218
1742994766.895507,1742994767.769479,392,448.53,"4,227,371.423228935",33818971.39,9425.01,873.972
1742994767.769479,1742994768.643738,393,449.52,"4,232,432.289429678",33859458.32,9415.37,874.259
1742994768.643738,1742994769.520024,391,446.20,"4,214,658.084617498",33717264.68,9445.64,876.286
1742994769.520024,1742994770.393258,394,451.20,"4,248,295.253417441",33986362.03,9415.62,873.234
1742994770.393258,1742994771.269281,391,446.34,"4,215,463.26625164",33723706.13,9444.61,876.023
1742994771.269281,1742994772.141317,392,449.52,"4,245,090.895270758",33960727.16,9443.55,872.036
1742994772.141317,1742994773.015654,392,448.34,"4,224,127.734034024",33793021.87,9421.71,874.337
1742994773.015654,1742994773.893117,391,445.60,"4,199,710.496610916",33597683.97,9424.78,877.463
1742994773.893117,1742994774.764396,392,449.91,"4,240,437.328064811",33923498.62,9425.01,871.279
1742994774.764396,1742994775.639031,393,449.33,"4,230,612.861049725",33844902.89,9415.37,874.635
1742994775.639031,1742994776.509671,392,450.24,"4,248,001.277728988",33984010.22,9434.90,870.640
1742994776.509671,1742994777.377876,392,451.51,"4,257,404.299527999",34059234.40,9429.34,868.205
1742994777.377876,1742994778.234816,377,439.94,"4,156,918.6534890146",33255349.23,9448.89,856.940
1742994778.234816,1742994779.212617,47,48.07,"457,309.8926878368",3658479.14,9514.00,977.801
1742994779.212617,1742994780.317457,200,181.02,"1,722,240.2617157619",13777922.09,9514.00,1104.840
1742994780.317457,1742994781.78142,30,20.49,"194,963.93953004948",1559711.52,9514.00,1463.963
1742994781.78142,1742994782.676638,68,75.96,"722,675.4550444017",5781403.64,9514.00,895.218
1742994782.676638,1742994783.536235,104,120.99,"1,151,069.3531346763",9208554.83,9514.00,859.597
1742994783.536235,1742994784.434889,37,41.17,"391,716.95250910794",3133735.62,9514.00,898.654
1742994784.434889,1742994785.620502,21,17.71,"168,515.3705263069",1348122.96,9514.00,1185.613
1742994785.620502,1742994786.823413,33,27.43,"261,001.87467727863",2088015.00,9514.00,1202.911
