Start Time,End Time,Packet Count,Packets/sec,Bytes/sec,Bits/sec,Average Packet Size,duration
1742994759.895464,1742994760.485115,269,456.20,"4,253,108.265000146",34024866.12,9322.86,589.651
1742994760.485115,1742994761.087405,267,443.31,"4,174,730.369917983",33397842.96,9417.22,602.290
1742994761.087405,1742994761.6737,259,441.76,"4,167,617.781308609",33340942.25,9434.19,586.295
1742994761.6737,1742994762.274352,232,386.25,"3,642,488.6204761053",29139908.96,9430.47,600.652
1742994762.274352,1742994762.866502,307,518.45,"4,889,575.50017897",39116604.00,9431.15,592.150
1742994762.866502,1742994763.46016,266,448.07,"4,221,582.333327711",33772658.67,9421.71,593.658
1742994763.46016,1742994764.053214,267,450.21,"4,239,745.051654125",33917960.41,9417.22,593.054
1742994764.053214,1742994764.648316,266,446.98,"4,213,510.796819599",33708086.37,9426.57,595.102
1742994764.648316,1742994765.254089,260,429.20,"4,049,317.396971108",32394539.18,9434.49,605.773
1742994765.254089,1742994765.864745,285,466.71,"4,404,985.70193919",35239885.62,9438.35,610.656
1742994765.864745,1742994766.458392,267,449.76,"4,237,686.683416762",33901493.47,9422.06,593.647
1742994766.458392,1742994767.053668,266,446.85,"4,210,106.750566032",33680854.00,9421.71,595.276
1742994767.053668,1742994767.645159,266,449.71,"4,243,601.454721345",33948811.64,9436.29,591.491
1742994767.645159,1742994768.238386,266,448.40,"4,215,938.217516942",33727505.74,9402.29,593.227
1742994768.238386,1742994768.83206,267,449.74,"4,244,021.506421156",33952172.05,9436.58,593.674
1742994768.83206,1742994769.424662,265,447.18,"4,224,632.955283592",33797063.64,9447.27,592.602
1742994769.424662,1742994770.018208,267,449.84,"4,234,054.926517325",33872439.41,9412.38,593.546
1742994770.018208,1742994770.616104,268,448.24,"4,217,001.932688056",33736015.46,9407.94,597.896
1742994770.616104,1742994771.205308,265,449.76,"4,250,503.543621761",34004028.35,9450.62,589.204
1742994771.205308,1742994771.797906,265,447.18,"4,226,842.080208052",33814736.64,9452.14,592.598
1742994771.797906,1742994772.391815,266,447.88,"4,224,828.877095665",33798631.02,9432.95,593.909
1742994772.391815,1742994772.985003,266,448.42,"4,224,926.666925508",33799413.34,9421.71,593.188
1742994772.985003,1742994773.578176,265,446.75,"4,222,063.1853463175",33776505.48,9450.62,593.173
1742994773.578176,1742994774.171398,267,450.08,"4,227,655.76921998",33821246.15,9393.03,593.222
1742994774.171398,1742994774.764396,265,446.88,"4,214,594.1180710625",33716752.94,9431.12,592.998
1742994774.764396,1742994775.357756,266,448.29,"4,221,525.25090528",33772202.01,9416.86,593.360
1742994775.357756,1742994775.951089,266,448.31,"4,232,604.582933747",33860836.66,9441.14,593.333
1742994775.951089,1742994776.544604,267,449.86,"4,227,743.752536271",33821950.02,9397.87,593.515
1742994776.544604,1742994777.13788,267,450.04,"4,244,692.0129948",33957536.10,9431.74,593.276
1742994777.13788,1742994777.731179,265,446.66,"4,217,492.985721381",33739943.89,9442.39,593.299
1742994777.731179,1742994778.363101,255,403.53,"3,822,835.6897565075",30582685.52,9473.47,631.922
1742994778.363101,1742994779.212617,15,17.66,"167,989.78982511995",1343918.32,9514.00,849.516
1742994779.212617,1742994779.869118,166,252.86,"2,405,668.640651664",19245349.13,9514.00,656.501
1742994779.869118,1742994780.505215,40,62.88,"598,273.5766931135",4786188.61,9514.00,636.097
1742994780.505215,1742994781.139117,18,28.40,"270,155.2926224002",2161242.34,9514.00,633.902
1742994781.139117,1742994781.78142,6,9.34,"88,873.94406116672",710991.55,9514.00,642.303
1742994781.78142,1742994782.402744,52,83.69,"796,247.9324088591",6369983.46,9514.00,621.324
1742994782.402744,1742994783.068703,40,60.06,"571,446.6923429974",4571573.54,9514.00,665.959
1742994783.068703,1742994783.876245,85,105.26,"1,001,421.4916755657",8011371.93,9514.00,807.542
1742994783.876245,1742994784.474426,33,55.17,"524,861.1960638561",4198889.57,9514.00,598.181
1742994784.474426,1742994785.096254,14,22.51,"214,200.68416064192",1713605.47,9514.00,621.828
1742994785.096254,1742994785.722685,8,12.77,"121,501.01355158363",972008.11,9514.00,626.431
1742994785.722685,1742994786.335381,3,4.90,"46,584.28184555183",372674.25,9514.00,612.696
1742994786.335381,1742994787.173526,55,65.62,"624,319.1679208974",4994553.34,9514.00,838.145
1742994787.173526,1742994788.600825,55,38.53,"366,615.53864127543",2932924.31,9514.00,1427.299
1742994788.600825,1742994789.331486,2,2.74,"13,199.009002765111",105592.07,4822.00,730.661
1742994789.331486,1742994789.94239,94,153.87,"1,463,922.370285956",11711378.96,9514.00,610.904
1742994789.94239,1742994791.417853,36,24.40,"232,133.21156246684",1857065.69,9514.00,1475.463
1742994791.417853,1742994792.357042,3,3.19,"30,390.05067165172",243120.41,9514.00,939.189
1742994792.357042,1742994792.978712,28,45.04,"428,510.2975823719",3428082.38,9514.00,621.670
1742994792.978712,1742994793.595447,47,76.21,"725,040.7604344253",5800326.08,9514.00,616.735
1742994793.595447,1742994794.178385,33,56.61,"538,585.6193542873",4308684.95,9514.00,582.938
1742994794.178385,1742994795.23295,26,24.65,"234,564.97329198135",1876519.79,9514.00,1054.565
1742994795.23295,1742994796.085408,3,3.52,"33,482.0014521176",267856.01,9514.00,852.458
1742994796.085408,1742994796.672119,72,122.72,"1,167,539.1834801394",9340313.47,9514.00,586.711
1742994796.672119,1742994797.367268,20,28.77,"273,725.41690117563",2189803.34,9514.00,695.149
1742994797.367268,1742994797.951381,54,92.45,"879,549.1681346575",7036393.35,9514.00,584.113
1742994797.951381,1742994799.126893,5,4.25,"40,467.47030040838",323739.76,9514.00,1175.512
1742994799.126893,1742994799.722274,80,134.37,"1,278,374.641641929",10226997.13,9514.00,595.381
1742994799.722274,1742994800.346432,41,65.69,"624,960.4411216895",4999683.53,9514.00,624.158
1742994800.346432,1742994801.346069,7,7.00,"66,622.17539380775",532977.40,9514.00,999.637
1742994801.346069,1742994802.056557,86,121.04,"1,151,608.727113606",9212869.82,9514.00,710.488
1742994802.056557,1742994802.752475,27,38.80,"369,121.03048417",2952968.24,9514.00,695.918
1742994802.752475,1742994803.841397,58,53.26,"506,750.70202725043",4054005.62,9514.00,1088.922
1742994803.841397,1742994804.475039,12,18.94,"180,177.46223388985",1441419.70,9514.00,633.642
1742994804.475039,1742994805.137112,32,48.33,"459,840.6027479937",3678724.82,9514.00,662.073
1742994805.137112,1742994805.730769,10,16.84,"160,260.8868672735",1282087.09,9514.00,593.657
1742994805.730769,1742994806.359524,51,81.11,"771,705.8767309143",6173647.01,9514.00,628.755
1742994806.359524,1742994806.944091,13,22.24,"211,578.80138279145",1692630.41,9514.00,584.567
1742994806.944091,1742994807.719269,43,55.47,"527,752.3658020775",4222018.93,9514.00,775.178
1742994807.719269,1742994808.963436,29,23.31,"221,759.6456363945",1774077.17,9514.00,1244.167
1742994808.963436,1742994809.587172,28,44.89,"427,090.85074149346",3416726.81,9514.00,623.736
1742994809.587172,1742994810.760587,35,29.83,"283,778.55697844975",2270228.46,9514.00,1173.415
1742994810.760587,1742994811.396731,34,53.45,"508,494.99366946996",4067959.95,9514.00,636.144
1742994811.396731,1742994811.98756,85,143.87,"1,368,737.5139107637",10949900.11,9514.00,590.829
1742994811.98756,1742994812.569592,468,804.08,"7,650,012.8271195665",61200102.62,9514.00,582.032
1742994812.569592,1742994813.152193,377,647.10,"6,156,490.576840947",49251924.61,9514.00,582.601
1742994813.152193,1742994813.735449,438,750.96,"7,144,601.950792874",57156815.61,9514.00,583.256
1742994813.735449,1742994814.31781,449,771.00,"7,335,288.807923036",58682310.46,9514.00,582.361
1742994814.31781,1742994814.900839,587,1006.81,"9,578,799.160657905",76630393.29,9514.00,583.029
1742994814.900839,1742994815.491391,623,1054.95,"10,036,751.164328445",80294009.31,9514.00,590.552
1742994815.491391,1742994816.073579,448,769.51,"7,321,124.881418124",58568999.05,9514.00,582.188
1742994816.073579,1742994816.680274,600,988.96,"9,409,012.098497914",75272096.79,9514.00,606.695
